Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Lot Number,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sales Price,Opening Stock,Barcode,DISCOUNT TYPE,DISCOUNT
PANADOL SYR,ANALGESIC,,,BOX,5,Brand 673,11,30-10-2020,1600,Tax 5%,5,Exclusive,1800,3,,,
NITROFURANTOIN SAT,ANTI-BIOTICS,,,BOX,5,Brand 674,11,31-10-2020,300,Tax 5%,5,Exclusive,500,-49,,,
VISIONACE,MULTIVITAMIN,,,BOX,5,Brand 675,11,01-11-2020,4200,Tax 5%,5,Exclusive,4800,0,,,
BENZHEXOL TAB,ANTISPAMODIC AGENTS,,,BOX,5,Brand 676,11,02-11-2020,4000,Tax 5%,5,Exclusive,20,388,,,
ALDOMET TAB UK,ANTI-HYPERTENSIVE,,,BOX,5,Brand 677,11,03-11-2020,550,Tax 5%,5,Exclusive,600,47,,,
PILOCAPINE 4% EYE DROP,EYE /EAR DROPS,,,BOX,5,Brand 678,11,04-11-2020,0,Tax 5%,5,Exclusive,2500,1,,,
RULOX SUSP,ANTACIDS,,,BOX,5,Brand 679,11,05-11-2020,670,Tax 5%,5,Exclusive,800,32,,,
ETHIRAB-D,ANTI ULCERS,,,BOX,5,Brand 680,11,06-11-2020,1450,Tax 5%,5,Exclusive,1600,8,,,
CIFLAXIN EYE/EAR,EYE /EAR DROPS,,,BOX,5,Brand 681,11,07-11-2020,600,Tax 5%,5,Exclusive,700,14,,,
VITRICINE,EYE /EAR DROPS,,,BOX,5,Brand 682,11,08-11-2020,0,Tax 5%,5,Exclusive,600,0,,,
TYDINEAL CREAM,CREAMS AND LOTIONS,,,BOX,5,Brand 683,11,09-11-2020,400,Tax 5%,5,Exclusive,450,-3,,,
EUMOL,ANTI INFLAMMATORY AGENTS,,,BOX,5,Brand 684,11,10-11-2020,0,Tax 5%,5,Exclusive,400,88,,,
MIXADIN  COUGH TAB,ANTI ALLERGY,,,BOX,5,Brand 685,11,11-11-2020,150,Tax 5%,5,Exclusive,200,71,,,
OBIFEN SUSP,ANALGESIC,,,BOX,5,Brand 686,11,12-11-2020,200,Tax 5%,5,Exclusive,300,0,,,
IVYZOXAN EYE  DROP,EYE /EAR DROPS,,,BOX,5,Brand 687,11,13-11-2020,650,Tax 5%,5,Exclusive,800,9,,,
DAONIL 5MG,ANTI-DIABETIC,,,BOX,5,Brand 688,11,14-11-2020,450,Tax 5%,5,Exclusive,500,79,,,
B,ANTACIDS,,,BOX,5,Brand 689,11,15-11-2020,700,Tax 5%,5,Exclusive,800,43,,,
RABEFAST RABEPRAZOLE,ANTI ULCERS,,,BOX,5,Brand 690,11,16-11-2020,450,Tax 5%,5,Exclusive,650,-4,,,
BENDROFLUMETHIAZIDE 2.5MG,ANTI-HYPERTENSIVE,,,BOX,5,Brand 691,11,17-11-2020,450,Tax 5%,5,Exclusive,500,14,,,
DIOVAN 80,ANTI-HYPERTENSIVE,,,BOX,5,Brand 692,11,18-11-2020,3400,Tax 5%,5,Exclusive,3850,2,,,
NIZORAL CREAM,CREAMS AND LOTIONS,,,BOX,5,Brand 693,11,19-11-2020,1600,Tax 5%,5,Exclusive,1700,27,,,
PROGESTERONE INJ (25ML),HORMONAL,,,BOX,5,Brand 694,11,20-11-2020,150,Tax 5%,5,Exclusive,200,64,,,
COL CAPS,ANTI ALLERGY,,,BOX,5,Brand 695,11,21-11-2020,0,Tax 5%,5,Exclusive,100,98,,,
PROMETHAZINE INJ,ANTI-HISTAMIN,,,BOX,5,Brand 696,11,22-11-2020,350,Tax 5%,5,Exclusive,50,766,,,
DEXAMETHASONE INJ,ANTI INFLAMMATORY AGENTS,,,BOX,5,Brand 697,11,23-11-2020,350,Tax 5%,5,Exclusive,50,224,,,
SIRDALUD 2MG,ANALGESIC,,,BOX,5,Brand 698,11,24-11-2020,900,Tax 5%,5,Exclusive,1200,25,,,
MAXIVISION BY 120,MULTIVITAMIN,,,BOX,5,Brand 699,11,25-11-2020,14000,Tax 5%,5,Exclusive,15000,2,,,
ARISTOBET -N OINTMENT,EYE /EAR DROPS,,,BOX,5,Brand 700,11,26-11-2020,0,Tax 5%,5,Exclusive,250,0,,,
MILK OF MAGNESIUM,ANTACIDS,,,BOX,5,Brand 701,11,27-11-2020,0,Tax 5%,5,Exclusive,3500,0,,,
TEARS NATURALE,EYE /EAR DROPS,,,BOX,5,Brand 702,11,28-11-2020,1700,Tax 5%,5,Exclusive,2000,-7,,,
CO-DIOVAN 80/12.5 MG,ANTI-HYPERTENSIVE,,,BOX,5,Brand 703,11,29-11-2020,3400,Tax 5%,5,Exclusive,3900,-5,,,
DIOVAN 160,ANTI-HYPERTENSIVE,,,BOX,5,Brand 704,11,30-11-2020,4100,Tax 5%,5,Exclusive,4600,2,,,
AZOPT  EYE,EYE /EAR DROPS,,,BOX,5,Brand 705,11,01-12-2020,2000,Tax 5%,5,Exclusive,2500,2,,,
PIDOGREL (ZOLON),ANTI-HYPERTENSIVE,,,BOX,5,Brand 706,11,02-12-2020,0,Tax 5%,5,Exclusive,650,0,,,
NUROFEN SUSP,ANALGESIC,,,BOX,5,Brand 707,11,03-12-2020,2200,Tax 5%,5,Exclusive,2400,7,,,
CALPOL SUSP,ANALGESIC,,,BOX,5,Brand 708,11,04-12-2020,0,Tax 5%,5,Exclusive,400,0,,,
KOSYLYN-F TAB,ANTI ASHMATICS,,,BOX,5,Brand 709,11,05-12-2020,0,Tax 5%,5,Exclusive,5,0,,,
HALOPERIDOL,ANTI-PSYCHOTIC,,,BOX,5,Brand 710,11,06-12-2020,8000,Tax 5%,5,Exclusive,20,-9,,,
FLUOXETINE (RELON),ANTI-DEPPRESSANT,,,BOX,5,Brand 711,11,07-12-2020,0,Tax 5%,5,Exclusive,400,0,,,
DICLOFENAC EYE DROP DFL,EYE /EAR DROPS,,,BOX,5,Brand 712,11,08-12-2020,900,Tax 5%,5,Exclusive,1000,2,,,
EMTRISIL SUSP,ANTACIDS,,,BOX,5,Brand 713,11,09-12-2020,650,Tax 5%,5,Exclusive,800,46,,,
BETOPTIC EYE DROP,EYE /EAR DROPS,,,BOX,5,Brand 714,11,10-12-2020,1500,Tax 5%,5,Exclusive,2000,5,,,
OPTODEXINE,EYE /EAR DROPS,,,BOX,5,Brand 715,11,11-12-2020,1100,Tax 5%,5,Exclusive,1300,32,,,
STADEX PLUS,EYE /EAR DROPS,,,BOX,5,Brand 716,11,12-12-2020,950,Tax 5%,5,Exclusive,1000,4,,,
BETADRONE N EYE,EYE /EAR DROPS,,,BOX,5,Brand 717,11,13-12-2020,750,Tax 5%,5,Exclusive,900,12,,,
FRUSEMIDE INJ,ANTI-HYPERTENSIVE,,,BOX,5,Brand 718,11,14-12-2020,50,Tax 5%,5,Exclusive,50,90,,,
LORATIDINE AFRAB,ANTI-HISTAMIN,,,BOX,5,Brand 719,11,15-12-2020,100,Tax 5%,5,Exclusive,200,176,,,
LOSARTAN 50MG TEVA,ANTI-HYPERTENSIVE,,,BOX,5,Brand 720,11,16-12-2020,900,Tax 5%,5,Exclusive,1000,7,,,
CARVEDILOL 3.125MG,ANTI-HYPERTENSIVE,,,BOX,5,Brand 721,11,17-12-2020,500,Tax 5%,5,Exclusive,600,26,,,
EMCAP SUSP,ANALGESIC,,,BOX,5,Brand 722,11,18-12-2020,250,Tax 5%,5,Exclusive,300,40,,,
SIMVASTATIN 20MG (CRESCENT),LIPID LOWERING AGENT,,,BOX,5,Brand 723,11,19-12-2020,300,Tax 5%,5,Exclusive,400,38,,,
XYLO- ACINO OINTMENT,EYE /EAR DROPS,,,BOX,5,Brand 724,11,20-12-2020,0,Tax 5%,5,Exclusive,1200,7,,,
NORMORETIC,ANTI-HYPERTENSIVE,,,BOX,5,Brand 725,11,21-12-2020,160,Tax 5%,5,Exclusive,200,166,,,
CO-DIOVAN 160/12.5MG,ANTI-HYPERTENSIVE,,,BOX,5,Brand 726,11,22-12-2020,4100,Tax 5%,5,Exclusive,4600,8,,,
REMEPRAZOLE 20,ANTI ULCERS,,,BOX,5,Brand 727,11,23-12-2020,0,Tax 5%,5,Exclusive,500,0,,,
LOZATAN 50,ANTI-HYPERTENSIVE,,,BOX,5,Brand 728,11,24-12-2020,0,Tax 5%,5,Exclusive,650,0,,,
BETASOL- N,EYE /EAR DROPS,,,BOX,5,Brand 729,11,25-12-2020,300,Tax 5%,5,Exclusive,400,13,,,
DEEP RELIEF CREAM,CREAMS AND LOTIONS,,,BOX,5,Brand 730,11,26-12-2020,250,Tax 5%,5,Exclusive,300,16,,,
KINGLION OMEPRAZOLE,ANTI ULCERS,,,BOX,5,Brand 731,11,27-12-2020,250,Tax 5%,5,Exclusive,500,0,,,
IBUPROFEN SUSP AFRAB,ANALGESIC,,,BOX,5,Brand 732,11,28-12-2020,330,Tax 5%,5,Exclusive,400,16,,,
NEUROBION PARKI,ANALGESIC,,,BOX,5,Brand 733,11,29-12-2020,400,Tax 5%,5,Exclusive,500,87,,,
CLOPIDOGREL ISSO,CARDIOVASCULAR,,,BOX,5,Brand 734,11,30-12-2020,300,Tax 5%,5,Exclusive,400,10,,,
OXYCORTRIL -B OINTMENT,EYE /EAR DROPS,,,BOX,5,Brand 735,11,31-12-2020,380,Tax 5%,5,Exclusive,900,0,,,
ULGICID SUSP,ANTACIDS,,,BOX,5,Brand 736,11,01-01-2021,1200,Tax 5%,5,Exclusive,1400,40,,,
POLYFORT TAB,ANTACIDS,,,BOX,5,Brand 737,11,02-01-2021,140,Tax 5%,5,Exclusive,200,37,,,
GENTALAB EAR/EYE DROP,EYE /EAR DROPS,,,BOX,5,Brand 738,11,03-01-2021,170,Tax 5%,5,Exclusive,200,85,,,
N,CREAMS AND LOTIONS,,,BOX,5,Brand 739,11,04-01-2021,550,Tax 5%,5,Exclusive,600,40,,,
VERAPAMIL 80MG (TEVA),ANTI-HYPERTENSIVE,,,BOX,5,Brand 740,11,05-01-2021,333.33333,Tax 5%,5,Exclusive,500,0,,,
HYOSCINE INJ,ANTI-PSYCHOTIC,,,BOX,5,Brand 741,11,06-01-2021,80,Tax 5%,5,Exclusive,100,100,,,
DIAMOX(ZOLAMOX),RARE,,,BOX,5,Brand 742,11,07-01-2021,18,Tax 5%,5,Exclusive,30,23,,,
VALSARTAN/HCT 80/12.5MG (TEVA),ANTI-HYPERTENSIVE,,,BOX,5,Brand 743,11,08-01-2021,0,Tax 5%,5,Exclusive,1200,-5,,,
DIABETMIN,ANTI-DIABETIC,,,BOX,5,Brand 744,11,09-01-2021,300,Tax 5%,5,Exclusive,350,102,,,
HYPROMELLOSE,EYE /EAR DROPS,,,BOX,5,Brand 745,11,10-01-2021,900,Tax 5%,5,Exclusive,1200,-1,,,
IVYMOICELL,EYE /EAR DROPS,,,BOX,5,Brand 746,11,11-01-2021,1000,Tax 5%,5,Exclusive,1100,9,,,
VISINE EYE DROP,EYE /EAR DROPS,,,BOX,5,Brand 747,11,12-01-2021,800,Tax 5%,5,Exclusive,1000,9,,,
MEDYSTEN CREAM,CREAMS AND LOTIONS,,,BOX,5,Brand 748,11,13-01-2021,300,Tax 5%,5,Exclusive,350,18,,,
HYDROCORT INJ,ANTI INFLAMMATORY AGENTS,,,BOX,5,Brand 749,11,14-01-2021,150,Tax 5%,5,Exclusive,200,77,,,
MEBET(OMEPRAZOLE) 20MG,ANTI ULCERS,,,BOX,5,Brand 750,11,15-01-2021,0,Tax 5%,5,Exclusive,500,0,,,
COD LIVER OIL EXTRA VIRGIN,MULTIVITAMIN,,,BOX,5,Brand 751,11,16-01-2021,1800,Tax 5%,5,Exclusive,2500,8,,,
PANDA SYR,ANALGESIC,,,BOX,5,Brand 752,11,17-01-2021,110,Tax 5%,5,Exclusive,150,-3,,,
ORPHESIC TAB,ANALGESIC,,,BOX,5,Brand 753,11,18-01-2021,320,Tax 5%,5,Exclusive,350,26,,,
FESOLATE CUP,MULTIVITAMIN,,,BOX,5,Brand 754,11,19-01-2021,1100,Tax 5%,5,Exclusive,1200,4,,,
VASPAR,ANTI-HYPERTENSIVE,,,BOX,5,Brand 755,11,20-01-2021,0,Tax 5%,5,Exclusive,250,-1,,,
MEPRASIL TAB(OMOPRAZOLE),ANTI ULCERS,,,BOX,5,Brand 756,11,21-01-2021,700,Tax 5%,5,Exclusive,800,31,,,
ZESTRIL 5MG,ANTI-HYPERTENSIVE,,,BOX,5,Brand 757,11,22-01-2021,0,Tax 5%,5,Exclusive,950,0,,,
ZOLAT TAB,ANTI-HELMINTICS,,,BOX,5,Brand 758,11,23-01-2021,150,Tax 5%,5,Exclusive,200,256,,,
XALATAN WITH NAFADAC NUM,EYE /EAR DROPS,,,BOX,5,Brand 759,11,24-01-2021,6000,Tax 5%,5,Exclusive,6600,6,,,
ZINC SULPHATE  20MG,ANTISPAMODIC AGENTS,,,BOX,5,Brand 760,11,25-01-2021,70,Tax 5%,5,Exclusive,100,102,,,
PAUCO TRIAMCINOLONE,ANTI INFLAMMATORY AGENTS,,,BOX,5,Brand 761,11,26-01-2021,0,Tax 5%,5,Exclusive,450,0,,,
STERILE WATER INJ,SURGICALS,,,BOX,5,Brand 762,11,27-01-2021,25,Tax 5%,5,Exclusive,50,139,,,
MEPACRINE,ANTI-MALARIA,,,BOX,5,Brand 763,11,28-01-2021,35000,Tax 5%,5,Exclusive,40,736,,,
FOLIC ACID 400mcg  MANSON,MULTIVITAMIN,,,BOX,5,Brand 764,11,29-01-2021,2200,Tax 5%,5,Exclusive,2500,7,,,
AMLONG 5,ANTI-HYPERTENSIVE,,,BOX,5,Brand 765,11,30-01-2021,0,Tax 5%,5,Exclusive,250,0,,,
CZARTAN 25,ANTI-HYPERTENSIVE,,,BOX,5,Brand 766,11,31-01-2021,0,Tax 5%,5,Exclusive,250,0,,,
MAXITROL EYE DROP,EYE /EAR DROPS,,,BOX,5,Brand 767,11,01-02-2021,1500,Tax 5%,5,Exclusive,1600,21,,,
CHLORAMPHENICOL EAR DROP,EYE /EAR DROPS,,,BOX,5,Brand 768,11,02-02-2021,180,Tax 5%,5,Exclusive,200,14,,,
SULPHADERM,CREAMS AND LOTIONS,,,BOX,5,Brand 769,11,03-02-2021,0,Tax 5%,5,Exclusive,500,0,,,
FINASTERIDE (DR REDDYS),HORMONAL,,,BOX,5,Brand 770,11,04-02-2021,700,Tax 5%,5,Exclusive,1000,18,,,
PERILON,ANTI INFLAMMATORY AGENTS,,,BOX,5,Brand 771,11,05-02-2021,220,Tax 5%,5,Exclusive,250,56,,,
ATENOLOL 50MG TEVA,ANTI-HYPERTENSIVE,,,BOX,5,Brand 772,11,06-02-2021,1200,Tax 5%,5,Exclusive,1400,61,,,
SALBUTAMOL INJ,ANTI ASHMATICS,,,BOX,5,Brand 773,11,07-02-2021,0,Tax 5%,5,Exclusive,120,0,,,
BCO TAB,MULTIVITAMIN,,,BOX,5,Brand 774,11,08-02-2021,900,Tax 5%,5,Exclusive,1000,6,,,
NIFEGEM RETARD,CARDIOVASCULAR,,,BOX,5,Brand 775,11,09-02-2021,450,Tax 5%,5,Exclusive,500,44,,,
CZARTAN 50,ANTI-HYPERTENSIVE,,,BOX,5,Brand 776,11,10-02-2021,0,Tax 5%,5,Exclusive,500,0,,,
AMLODIPINE 5MG DR.REDDY,ANTI-HYPERTENSIVE,,,BOX,5,Brand 777,11,11-02-2021,0,Tax 5%,5,Exclusive,500,0,,,
PYRANTRIN SUSP,ANTI-HELMINTICS,,,BOX,5,Brand 778,11,12-02-2021,470,Tax 5%,5,Exclusive,550,0,,,
TIMOPTOL,EYE /EAR DROPS,,,BOX,5,Brand 779,11,13-02-2021,3000,Tax 5%,5,Exclusive,3500,5,,,
YTACAN CREAM,CREAMS AND LOTIONS,,,BOX,5,Brand 780,11,14-02-2021,250,Tax 5%,5,Exclusive,300,19,,,
ERGOMETRINE INJ,HORMONAL,,,BOX,5,Brand 781,11,15-02-2021,0,Tax 5%,5,Exclusive,180,34,,,
AMINOPHILLINE INJ,ANTI ALLERGY,,,BOX,5,Brand 782,11,16-02-2021,800,Tax 5%,5,Exclusive,100,60,,,
LIZOQUINE,ANTI-MALARIA,,,BOX,5,Brand 783,11,17-02-2021,0,Tax 5%,5,Exclusive,100,0,,,
SAMTREX LEVAMISOLE,ANTI-FUNGAL,,,BOX,5,Brand 784,11,18-02-2021,0,Tax 5%,5,Exclusive,3.33,0,,,
BENOCIDE,ANTI-HELMINTICS,,,BOX,5,Brand 785,11,19-02-2021,0,Tax 5%,5,Exclusive,10,0,,,
DIATAB,ANTI-DIABETIC,,,BOX,5,Brand 786,11,20-02-2021,80,Tax 5%,5,Exclusive,100,76,,,
CIMETIDINE 400MG,ANTI ULCERS,,,BOX,5,Brand 787,11,21-02-2021,400,Tax 5%,5,Exclusive,500,82,,,
ZESTRIL 10MG,ANTI-HYPERTENSIVE,,,BOX,5,Brand 788,11,22-02-2021,2200,Tax 5%,5,Exclusive,2500,-10,,,
ZENTEL TAB,ANTI-HELMINTICS,,,BOX,5,Brand 789,11,23-02-2021,450,Tax 5%,5,Exclusive,600,436,,,
ALPHAGAN,EYE /EAR DROPS,,,BOX,5,Brand 790,11,24-02-2021,2800,Tax 5%,5,Exclusive,3200,8,,,
LAMISIL CREAM WITHOUT NRN,CREAMS AND LOTIONS,,,BOX,5,Brand 791,11,25-02-2021,2750,Tax 5%,5,Exclusive,3000,14,,,
SAKOLD,ANTI ALLERGY,,,BOX,5,Brand 792,11,26-02-2021,0,Tax 5%,5,Exclusive,100,-51,,,
CYPRON TAB,MULTIVITAMIN,,,BOX,5,Brand 793,11,27-02-2021,270,Tax 5%,5,Exclusive,300,17,,,
TALEN 3MG,SEDATIVES,,,BOX,5,Brand 794,11,28-02-2021,300,Tax 5%,5,Exclusive,500,127,,,
EM VIT TAB,MULTIVITAMIN,,,BOX,5,Brand 795,11,01-03-2021,180,Tax 5%,5,Exclusive,250,17,,,
TORSINEX-10,ANTI-HYPERTENSIVE,,,BOX,5,Brand 796,11,02-03-2021,550,Tax 5%,5,Exclusive,800,15,,,
APROVASC 150MG/5MG,ANTI-HYPERTENSIVE,,,BOX,5,Brand 797,11,03-03-2021,0,Tax 5%,5,Exclusive,1450,0,,,
MAGNESIUM TRISILICATE MIXTURE,ANTACIDS,,,BOX,5,Brand 798,11,04-03-2021,0,Tax 5%,5,Exclusive,350,6,,,
ELISCA CHLORAMPHENICOL EYE,EYE /EAR DROPS,,,BOX,5,Brand 799,11,05-03-2021,300,Tax 5%,5,Exclusive,350,-8,,,
OXZOMOL,ANTI ULCERS,,,BOX,5,Brand 800,11,06-03-2021,0,Tax 5%,5,Exclusive,300,0,,,
NEO- PRESOL,CREAMS AND LOTIONS,,,BOX,5,Brand 801,11,07-03-2021,1650,Tax 5%,5,Exclusive,1900,30,,,
XALATAN WITHOUT NAFDAC NUM.,EYE /EAR DROPS,,,BOX,5,Brand 802,11,08-03-2021,3000,Tax 5%,5,Exclusive,3500,25,,,
VOLTARENE CREAM SMALL,CREAMS AND LOTIONS,,,BOX,5,Brand 803,11,09-03-2021,800,Tax 5%,5,Exclusive,1000,2,,,
TRAMED 50MG,ANALGESIC CONTROL,,,BOX,5,Brand 804,11,10-03-2021,500,Tax 5%,5,Exclusive,800,-161,,,
TRIAMCINOLONE ACETONIDE,ANTI INFLAMMATORY AGENTS,,,BOX,5,Brand 805,11,11-03-2021,175,Tax 5%,5,Exclusive,250,-1,,,
IRON DEXT TONIC,MULTIVITAMIN,,,BOX,5,Brand 806,11,12-03-2021,900,Tax 5%,5,Exclusive,1200,30,,,
VOLTANAC TAB,ANALGESIC,,,BOX,5,Brand 807,11,13-03-2021,0,Tax 5%,5,Exclusive,150,-3,,,
MODURETIC OBS,ANTI-HYPERTENSIVE,,,BOX,5,Brand 808,11,14-03-2021,200,Tax 5%,5,Exclusive,250,114,,,
CHLORBINESE,ANTI-DIABETIC,,,BOX,5,Brand 809,11,15-03-2021,400,Tax 5%,5,Exclusive,600,0,,,
VISTULENT EYE DROP,EYE /EAR DROPS,,,BOX,5,Brand 810,11,16-03-2021,1800,Tax 5%,5,Exclusive,2000,9,,,
PEPTIKIT,ANTI ULCERS,,,BOX,5,Brand 811,11,17-03-2021,3500,Tax 5%,5,Exclusive,4000,12,,,
ZOLATSUSP,ANTI-HELMINTICS,,,BOX,5,Brand 812,11,18-03-2021,230,Tax 5%,5,Exclusive,250,96,,,
XALACOM WITHOUT NAFDAC NUM.,EYE /EAR DROPS,,,BOX,5,Brand 813,11,19-03-2021,3000,Tax 5%,5,Exclusive,3500,9,,,
KY JELLY,CREAMS AND LOTIONS,,,BOX,5,Brand 814,11,20-03-2021,450,Tax 5%,5,Exclusive,700,66,,,
TRAMED 100MG,ANALGESIC CONTROL,,,BOX,5,Brand 815,11,21-03-2021,1500,Tax 5%,5,Exclusive,2000,-3,,,
AMYVIL (ZOLON) 25MG,ANTI-PSYCHOTIC,,,BOX,5,Brand 816,11,22-03-2021,125,Tax 5%,5,Exclusive,300,0,,,
AMLODIPINE 10MG (TEVA),ANTI-HYPERTENSIVE,,,BOX,5,Brand 817,11,23-03-2021,275,Tax 5%,5,Exclusive,300,256,,,
ZINC 100MG MANSON,SUPLEMENTS,,,BOX,5,Brand 818,11,24-03-2021,4500,Tax 5%,5,Exclusive,5000,3,,,
EXFORGE HCT 160/12.5MG,ANTI-HYPERTENSIVE,,,BOX,5,Brand 819,11,25-03-2021,2600,Tax 5%,5,Exclusive,3000,20,,,
TRIBACT CREAM,CREAMS AND LOTIONS,,,BOX,5,Brand 820,11,26-03-2021,300,Tax 5%,5,Exclusive,400,-277,,,
MIST MAG SPC NAKED,ANTACIDS,,,BOX,5,Brand 821,11,27-03-2021,280,Tax 5%,5,Exclusive,350,3,,,
AMLODIPINE 10MG DR.REDDY,ANTI-HYPERTENSIVE,,,BOX,5,Brand 822,11,28-03-2021,0,Tax 5%,5,Exclusive,600,0,,,
MAXIDEX EYE DROP,EYE /EAR DROPS,,,BOX,5,Brand 823,11,29-03-2021,1400,Tax 5%,5,Exclusive,1500,9,,,
HYDROCOTISONE CREAM,CREAMS AND LOTIONS,,,BOX,5,Brand 824,11,30-03-2021,600,Tax 5%,5,Exclusive,700,22,,,
YTACAN PLUS,CREAMS AND LOTIONS,,,BOX,5,Brand 825,11,31-03-2021,250,Tax 5%,5,Exclusive,300,28,,,
NIXODERM TUBE,CREAMS AND LOTIONS,,,BOX,5,Brand 826,11,01-04-2021,750,Tax 5%,5,Exclusive,800,18,,,
ENDIX-G,CREAMS AND LOTIONS,,,BOX,5,Brand 827,11,02-04-2021,350,Tax 5%,5,Exclusive,500,3,,,
XYLOCAINE JELLY,CREAMS AND LOTIONS,,,BOX,5,Brand 828,11,03-04-2021,0,Tax 5%,5,Exclusive,450,0,,,
DEEP HEAT SPRAY,ANALGESIC,,,BOX,5,Brand 829,11,04-04-2021,1600,Tax 5%,5,Exclusive,1800,-2,,,
DETTOL LIQUID 500ML,SURGICALS,,,BOX,5,Brand 830,11,05-04-2021,2300,Tax 5%,5,Exclusive,2500,18,,,
TRANEXAMIC ACID 500MG,CARDIOVASCULAR,,,BOX,5,Brand 831,11,06-04-2021,1300,Tax 5%,5,Exclusive,1500,64,,,
AIR WICK SPRAY,RARE,,,BOX,5,Brand 832,11,07-04-2021,1000,Tax 5%,5,Exclusive,1000,1,,,
BONJELA,CREAMS AND LOTIONS,,,BOX,5,Brand 833,11,08-04-2021,450,Tax 5%,5,Exclusive,500,-3,,,
CHROMIC CATGUT 1/2 35MM,SURGICALS,,,BOX,5,Brand 834,11,09-04-2021,100,Tax 5%,5,Exclusive,250,-4,,,
METRONIDAZOLE INFUSION,ANTI-BIOTICS,,,BOX,5,Brand 835,11,10-04-2021,300,Tax 5%,5,Exclusive,300,370,,,
CLAVULIN SUSP,ANTI-BIOTICS,,,BOX,5,Brand 836,11,11-04-2021,628.66667,Tax 5%,5,Exclusive,1200,0,,,
SWINOL,SEDATIVES,,,BOX,5,Brand 837,11,12-04-2021,166.67,Tax 5%,5,Exclusive,2000,7,,,
SABRESTEN CREAM,CREAMS AND LOTIONS,,,BOX,5,Brand 838,11,13-04-2021,1000,Tax 5%,5,Exclusive,1200,20,,,
BG-CREAM,CREAMS AND LOTIONS,,,BOX,5,Brand 839,11,14-04-2021,280,Tax 5%,5,Exclusive,350,-7,,,
ABF  CREAM,CREAMS AND LOTIONS,,,BOX,5,Brand 840,11,15-04-2021,330,Tax 5%,5,Exclusive,350,13,,,
STIBESTEROL TAB,HORMONAL,,,BOX,5,Brand 841,11,16-04-2021,0,Tax 5%,5,Exclusive,300,0,,,
AMIODARONE 200MG,CARDIOVASCULAR,,,BOX,5,Brand 842,11,17-04-2021,1400,Tax 5%,5,Exclusive,1500,11,,,
JIK 475ML,SURGICALS,,,BOX,5,Brand 843,11,18-04-2021,450,Tax 5%,5,Exclusive,500,-12,,,
CLOTRIDERM,CREAMS AND LOTIONS,,,BOX,5,Brand 844,11,19-04-2021,0,Tax 5%,5,Exclusive,300,0,,,
CHROMIC CATAGUT 2/0,SURGICALS,,,BOX,5,Brand 845,11,20-04-2021,91.66667,Tax 5%,5,Exclusive,250,3,,,
GLUCOS-D SATCHET,MULTIVITAMIN,,,BOX,5,Brand 846,11,21-04-2021,150,Tax 5%,5,Exclusive,200,60,,,
DIGOXIN SATCHET,CARDIOVASCULAR,,,BOX,5,Brand 847,11,22-04-2021,0,Tax 5%,5,Exclusive,300,55,,,
LIPITOR 10MG,LIPID LOWERING AGENT,,,BOX,5,Brand 848,11,23-04-2021,2400,Tax 5%,5,Exclusive,2700,41,,,
DERMAZIN CREAM SMALL,CREAMS AND LOTIONS,,,BOX,5,Brand 849,11,24-04-2021,1100,Tax 5%,5,Exclusive,1200,37,,,
MYCOTEN CREAM,CREAMS AND LOTIONS,,,BOX,5,Brand 850,11,25-04-2021,550,Tax 5%,5,Exclusive,600,16,,,
FUNGUSOL CREAM,CREAMS AND LOTIONS,,,BOX,5,Brand 851,11,26-04-2021,220,Tax 5%,5,Exclusive,600,2,,,
CARBIRIOD,RARE,,,BOX,5,Brand 852,11,27-04-2021,700,Tax 5%,5,Exclusive,900,38,,,
EPANUTIN,ANTI EPILEPTICS,,,BOX,5,Brand 853,11,28-04-2021,190,Tax 5%,5,Exclusive,500,0,,,
NORETHSTERONE TAB,HORMONAL,,,BOX,5,Brand 854,11,29-04-2021,0,Tax 5%,5,Exclusive,450,0,,,
COTTON ABSORBENT GUAZE,SURGICALS,,,BOX,5,Brand 855,11,30-04-2021,4800,Tax 5%,5,Exclusive,4800,-1,,,
SILVER BIRD,CREAMS AND LOTIONS,,,BOX,5,Brand 856,11,01-05-2021,1400,Tax 5%,5,Exclusive,1600,-6,,,
AGARY SURGICAL BLADE,SURGICALS,,,BOX,5,Brand 857,11,02-05-2021,0,Tax 5%,5,Exclusive,30,0,,,
CATHETER 20,SURGICALS,,,BOX,5,Brand 858,11,03-05-2021,195,Tax 5%,5,Exclusive,250,-2,,,
PCM INJ,ANALGESIC,,,BOX,5,Brand 859,11,04-05-2021,350,Tax 5%,5,Exclusive,50,674,,,
LIPITOR 20MG,LIPID LOWERING AGENT,,,BOX,5,Brand 860,11,05-05-2021,2400,Tax 5%,5,Exclusive,2600,7,,,
NURIFER CAPS,MULTIVITAMIN,,,BOX,5,Brand 861,11,06-05-2021,0,Tax 5%,5,Exclusive,300,0,,,
VENTOLIN INHALER,ANTI ASHMATICS,,,BOX,5,Brand 862,11,07-05-2021,1500,Tax 5%,5,Exclusive,1800,94,,,
FUNBACT A,CREAMS AND LOTIONS,,,BOX,5,Brand 863,11,08-05-2021,450,Tax 5%,5,Exclusive,500,37,,,
