Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Lot Number,Expire Date, Purchase Price ,Tax Name,Tax Value,Tax Type,Sales Price,Opening Stock,Barcode,DISCOUNT TYPE,DISCOUNT
MASSAKI Drilling Bit 6.0mm,General,,,PIECES,4,Total,,," 5,000.00000 ",0,0,Exclusive," 7,100.0000 ",4,,Fixed,
Massaki TCT Hole Cutter  Saw Size 65mm,General,,,PIECES,2,Total,,," 5,000.00000 ",0,0,Exclusive," 7,100.0000 ",2,,Fixed,
Total [6pcs] Insulated Screw Driver Set ,General,,,PIECES,1,Total,,," 5,000.00000 ",0,0,Exclusive," 7,100.0000 ",1,,Fixed,
Total Air Tire Inflating Gun Max 8.5 bar,General,,,PIECES,21,Total,,," 5,000.00000 ",0,0,Exclusive," 7,100.0000 ",21,,Fixed,
Total Air Washing Gun [750cc],General,,,PIECES,21,Total,,," 5,000.00000 ",0,0,Exclusive," 7,100.0000 ",21,,Fixed,
Massaki Drilling Bit  6.5mm ,General,,,PIECES,7,Total,,," 5,500.00000 ",0,0,Exclusive," 7,800.0000 ",7,,Fixed,
MASSAKI Drilling Bit 6.5mm,General,,,PIECES,7,Total,,," 5,500.00000 ",0,0,Exclusive," 7,800.0000 ",7,,Fixed,
Massaki TCT Hole Saw Cutter 70mm,General,,,PIECES,2,Total,,," 5,500.00000 ",0,0,Exclusive," 7,800.0000 ",2,,Fixed,
Skole Trading TXCT hole Saw Size 70mm,General,,,PIECES,2,Total,,," 5,500.00000 ",0,0,Exclusive," 7,800.0000 ",2,,Fixed,
Total [18pcs] Screw Driver Set ,General,,,PIECES,5,Total,,," 5,500.00000 ",0,0,Exclusive," 7,800.0000 ",5,,Fixed,
Total [3pcs] Plier Set,General,,,PIECES,24,Total,,," 5,500.00000 ",0,0,Exclusive," 7,800.0000 ",24,,Fixed,
Total [5pcs] Steel File Set [200mm] ,General,,,PIECES,4,Total,,," 5,500.00000 ",0,0,Exclusive," 7,800.0000 ",4,,Fixed,
Total Spirit Level [120cm] ,General,,,PIECES,2,Total,,," 5,500.00000 ",0,0,Exclusive," 7,800.0000 ",2,,Fixed,
Inc- co Head Lamp HHLO13 AAA2,General,,,PIECES,4,Total,,," 6,000.00000 ",0,0,Exclusive," 8,500.0000 ",4,,Fixed,
Inc -co Screw Driver [12pcs] Set AKSDFL1208,General,,,PIECES,2,Total,,," 6,000.00000 ",0,0,Exclusive," 8,500.0000 ",2,,Fixed,
Inc- co Steel measuring - Tape 50 X 12.5mm,General,,,PIECES,1,Total,,," 6,000.00000 ",0,0,Exclusive," 8,500.0000 ",1,,Fixed,
MASSAKI Drilling Bit 17.0mm,General,,,PIECES,2,Total,,," 6,000.00000 ",0,0,Exclusive," 8,500.0000 ",2,,Fixed,
Massaki TCT Hole Saw Cutter 75mm,General,,,PIECES,3,Total,,," 6,000.00000 ",0,0,Exclusive," 8,500.0000 ",3,,Fixed,
Skole Trading TCT Hole Saw Size 75mm,General,,,PIECES,2,Total,,," 6,000.00000 ",0,0,Exclusive," 8,500.0000 ",2,,Fixed,
MASSAKI Drilling Bit 7.0mm,General,,,PIECES,28,Total,,," 6,500.00000 ",0,0,Exclusive," 9,200.0000 ",28,,Fixed,
Red Hook 7 Ton,General,,,PIECES,5,Total,,," 6,500.00000 ",0,0,Exclusive," 9,200.0000 ",5,,Fixed,
Total  Grease Gun [400cc],General,,,PIECES,9,Total,,," 6,500.00000 ",0,0,Exclusive," 9,200.0000 ",9,,Fixed,
Total Spirit Level [150cm],General,,,PIECES,3,Total,,," 6,500.00000 ",0,0,Exclusive," 9,200.0000 ",3,,Fixed,
Total 50m x 12.5mm Steel Measuring Tape,General,,,PIECES,1,Total,,," 7,000.00000 ",0,0,Exclusive," 9,900.0000 ",1,,Fixed,
Concrete Hole Saw 85m,General,,,PIECES,1,Total,,," 7,500.00000 ",0,0,Exclusive," 10,600.0000 ",1,,Fixed,
Inc-co Booster Cable 600amps ,General,,,PIECES,4,Total,,," 7,500.00000 ",0,0,Exclusive," 10,600.0000 ",4,,Fixed,
Concrete Hole Saw 100m,General,,,PIECES,1,Total,,," 8,000.00000 ",0,0,Exclusive," 11,300.0000 ",1,,Fixed,
G-Pointed - Chisel ,General,,,PIECES,,Total,,," 8,000.00000 ",0,0,Exclusive," 11,300.0000 ",,,Fixed,
Inc- co Spirit level (180cm),General,,,PIECES,2,Total,,," 8,000.00000 ",0,0,Exclusive," 11,300.0000 ",2,,Fixed,
Magnetic Metal Drilling Bit [16mm],General,,,PIECES,1,Total,,," 8,000.00000 ",0,0,Exclusive," 11,300.0000 ",1,,Fixed,
MASSAKI Drilling Bit 7.5mm,General,,,PIECES,20,Total,,," 8,000.00000 ",0,0,Exclusive," 11,300.0000 ",20,,Fixed,
Total [10pcs] 1/2'' Socket Set,General,,,PIECES,5,Total,,," 8,000.00000 ",0,0,Exclusive," 11,300.0000 ",5,,Fixed,
Total Air Spray Gun [400cc],General,,,PIECES,4,Total,,," 8,000.00000 ",0,0,Exclusive," 11,300.0000 ",4,,Fixed,
Total Bolt Cutter [600mm] 24'',General,,,PIECES,11,Total,,," 8,000.00000 ",0,0,Exclusive," 11,300.0000 ",11,,Fixed,
Total Digital AC Clamp Meter [200amps] ,General,,,PIECES,6,Total,,," 8,000.00000 ",0,0,Exclusive," 11,300.0000 ",6,,Fixed,
Total Insulated Adjustable Wrench [250mm] 10'',General,,,PIECES,12,Total,,," 8,000.00000 ",0,0,Exclusive," 11,300.0000 ",12,,Fixed,
Total Lithium -ion Battery Pack [2.0AH],General,,,PIECES,3,Total,,," 8,000.00000 ",0,0,Exclusive," 11,300.0000 ",3,,Fixed,
Magnetic Metal Drilling Bit [ 18mm],General,,,PIECES,4,Total,,," 8,500.00000 ",0,0,Exclusive," 12,000.0000 ",4,,Fixed,
Total Air Spray Gun [600cc],General,,,PIECES,9,Total,,," 8,500.00000 ",0,0,Exclusive," 12,000.0000 ",9,,Fixed,
Total Wire Stripper [254mm] 10'',General,,,PIECES,45,Total,,," 8,500.00000 ",0,0,Exclusive," 12,000.0000 ",45,,Fixed,
Magnetic Metal Drilling Bit [20mmm],General,,,PIECES,1,Total,,," 9,000.00000 ",0,0,Exclusive," 12,700.0000 ",1,,Fixed,
Total Heat Gun In A Pack [2000w] without Box,General,,,PIECES,9,Total,,," 9,500.00000 ",0,0,Exclusive," 13,400.0000 ",9,,Fixed,
Magnetic Metal Drilling Bit [21mm],General,,,PIECES,1,Total,,," 10,000.00000 ",0,0,Exclusive," 14,100.0000 ",1,,Fixed,
Magnetic Metal Drilling Bit [23mm],General,,,PIECES,2,Total,,," 10,000.00000 ",0,0,Exclusive," 14,100.0000 ",2,,Fixed,
Magnetic Metal Drilling Bit [26mm],General,,,PIECES,2,Total,,," 10,000.00000 ",0,0,Exclusive," 14,100.0000 ",2,,Fixed,
Red Hook 11 Ton,General,,,PIECES,3,Total,,," 10,000.00000 ",0,0,Exclusive," 14,100.0000 ",3,,Fixed,
SKOLE TCT Hole Saw 80m,General,,,PIECES,2,Total,,," 10,000.00000 ",0,0,Exclusive," 14,100.0000 ",2,,Fixed,
SKOLE TCT Hole Saw 90m,General,,,PIECES,2,Total,,," 10,000.00000 ",0,0,Exclusive," 14,100.0000 ",2,,Fixed,
MASSAKI Drilling Bit 11.0mm,General,,,PIECES,5,Total,,," 11,000.00000 ",0,0,Exclusive," 15,700.0000 ",5,,Fixed,
MASSAKI Drilling Bit 8.0mm,General,,,PIECES,15,Total,,," 12,000.00000 ",0,0,Exclusive," 17,100.0000 ",15,,Fixed,
MASSAKI Drilling Bit 8.5mm,General,,,PIECES,9,Total,,," 12,000.00000 ",0,0,Exclusive," 17,100.0000 ",9,,Fixed,
SKOLE TCT Hole Saw 100m,General,,,PIECES,1,Total,,," 12,000.00000 ",0,0,Exclusive," 17,100.0000 ",1,,Fixed,
Total Safety Boots  With Head ,General,,,PIECES,8,Total,,," 13,000.00000 ",0,0,Exclusive," 18,500.0000 ",8,,Fixed,
Total Safety Boots  Without Head  ,General,,,PIECES,8,Total,,," 13,000.00000 ",0,0,Exclusive," 18,500.0000 ",8,,Fixed,
Total 6-32mm Combination Spanner,General,,,PIECES,5,Total,,," 14,000.00000 ",0,0,Exclusive," 19,900.0000 ",5,,Fixed,
Total Bolt Cutter [750mm] 30'',General,,,PIECES,1,Total,,," 14,000.00000 ",0,0,Exclusive," 19,900.0000 ",1,,Fixed,
Total Combination Spanner Set [6-32mm] ,General,,,PIECES,5,Total,,," 14,000.00000 ",0,0,Exclusive," 19,900.0000 ",5,,Fixed,
BI- M etal Hole Saw (9pcs Set) Plumbers,General,,,PIECES,1,Total,,," 15,000.00000 ",0,0,Exclusive," 21,300.0000 ",1,,Fixed,
Total  Bolt Cutter [36''] 900mm ,General,,,PIECES,4,Total,,," 15,000.00000 ",0,0,Exclusive," 21,300.0000 ",4,,Fixed,
Total [45pcs] 1/4 Socket Set ,General,,,PIECES,1,Total,,," 15,000.00000 ",0,0,Exclusive," 21,300.0000 ",1,,Fixed,
Inc- co Lithium -ion Battery 40Ah FBLI2002,General,,,PIECES,5,Total,,," 16,000.00000 ",0,0,Exclusive," 22,700.0000 ",5,,Fixed,
Total Angle Grinder [750w],General,,,PIECES,9,Total,,," 16,000.00000 ",0,0,Exclusive," 22,700.0000 ",9,,Fixed,
Total Digital Multimeter [600v],General,,,PIECES,8,Total,,," 16,000.00000 ",0,0,Exclusive," 22,700.0000 ",8,,Fixed,
Total Digital Multimeter CAT.111 1000V X 600V,General,,,PIECES,15,Total,,," 17,000.00000 ",0,0,Exclusive," 24,100.0000 ",15,,Fixed,
G - Workman Full Body Harness,General,,,PIECES,2,Total,,," 18,000.00000 ",0,0,Exclusive," 25,500.0000 ",2,,Fixed,
Inc- co (11pcs) House hold Tool Set HKTV01H111,General,,,PIECES,2,Total,,," 18,000.00000 ",0,0,Exclusive," 25,500.0000 ",2,,Fixed,
Inc -co Mini Grinder [130w] ,General,,,PIECES,1,Total,,," 20,000.00000 ",0,0,Exclusive," 28,300.0000 ",1,,Fixed,
Inc- co Spray- Gun ( 550w) ,General,,,PIECES,2,Total,,," 20,000.00000 ",0,0,Exclusive," 28,300.0000 ",2,,Fixed,
Total  Hydrolic  Crimping Tool [4.70mm ,General,,,PIECES,5,Total,,," 20,000.00000 ",0,0,Exclusive," 28,300.0000 ",5,,Fixed,
Total Bolt Cutter [42''] 1050mm,General,,,PIECES,6,Total,,," 20,000.00000 ",0,0,Exclusive," 28,300.0000 ",6,,Fixed,
Total Impact Drill [1010w],General,,,PIECES,3,Total,,," 20,000.00000 ",0,0,Exclusive," 28,300.0000 ",3,,Fixed,
Total Bolt Cutter [48''] 1200mm ,General,,,PIECES,4,Total,,," 22,000.00000 ",0,0,Exclusive," 30,100.0000 ",4,,Fixed,
Total Lithium -ion Cordless Drill [12v],General,,,PIECES,5,Total,,," 23,000.00000 ",0,0,Exclusive," 31,400.0000 ",5,,Fixed,
Total Heat Gun In A Box [2000w],General,,,PIECES,5,Total,,," 24,000.00000 ",0,0,Exclusive," 32,700.0000 ",5,,Fixed,
Inc-co Lithium ion scale (12v),General,,,PIECES,1,Total,,," 25,000.00000 ",0,0,Exclusive," 34,000.0000 ",1,,Fixed,
Massaki TCT Hole Cutter Set (12pcs),General,,,PIECES,1,Total,,," 25,000.00000 ",0,0,Exclusive," 34,000.0000 ",1,,Fixed,
Total Pipe Wrench [48''],General,,,PIECES,1,Total,,," 25,000.00000 ",0,0,Exclusive," 34,000.0000 ",1,,Fixed,
Total [ 115 pcs] Tools Set [680w],General,,,PIECES,11,Total,,," 26,000.00000 ",0,0,Exclusive," 35,300.0000 ",11,,Fixed,
Inc-co Marble-Cutter (1400w),General,,,PIECES,1,Total,,," 28,000.00000 ",0,0,Exclusive," 37,900.0000 ",1,,Fixed,
Total [[81pcs] Tools Set,General,,,PIECES,1,Total,,," 28,000.00000 ",0,0,Exclusive," 37,900.0000 ",1,,Fixed,
Total Marble Cutter [1400w],General,,,PIECES,2,Total,,," 28,000.00000 ",0,0,Exclusive," 37,900.0000 ",2,,Fixed,
Inc- co Plastic - Tube- Welding Tools PTWT215002,General,,,PIECES,2,Total,,," 30,000.00000 ",0,0,Exclusive," 40,500.0000 ",2,,Fixed,
Total Air Brad Nailer [GA18] ,General,,,PIECES,1,Total,,," 30,000.00000 ",0,0,Exclusive," 40,500.0000 ",1,,Fixed,
Total Rotary Sander [450w] ,General,,,PIECES,1,Total,,," 30,000.00000 ",0,0,Exclusive," 40,500.0000 ",1,,Fixed,
Total Tile Cutter,General,,,PIECES,1,Total,,," 30,000.00000 ",0,0,Exclusive," 40,500.0000 ",1,,Fixed,
Totaln Angle Grinder [2200w],General,,,PIECES,3,Total,,," 34,000.00000 ",0,0,Exclusive," 45,700.0000 ",3,,Fixed,
Inc- co (7pcs)Body and fender Hammer set,General,,,PIECES,1,Total,,," 35,000.00000 ",0,0,Exclusive," 47,000.0000 ",1,,Fixed,
Inc-co [51pcs] Telecom Tool Set ,General,,,PIECES,2,Total,,," 35,000.00000 ",0,0,Exclusive," 47,000.0000 ",2,,Fixed,
Total Rotary Hammer [1050w],General,,,PIECES,4,Total,,," 35,000.0000 ",0,0,Exclusive," 47,000.0000 ",4,,Fixed,
Total Rotary Hammer [1500w],General,,,PIECES,7,Total,,," 38,000.0000 ",0,0,Exclusive," 50,900.0000 ",7,,Fixed,
Total Mixer [1400w],General,,,PIECES,1,Total,,," 40,000.0000 ",0,0,Exclusive," 53,500.0000 ",1,,Fixed,
Total Lithium -ion Auto Air  Compressor [20v] ,General,,,PIECES,3,Total,,," 42,000.0000 ",0,0,Exclusive," 56,100.0000 ",3,,Fixed,
Total Lithium -ion Cordless Drill [20v],General,,,PIECES,5,Total,,," 43,000.0000 ",0,0,Exclusive," 57,400.0000 ",5,,Fixed,
Total Wall Chaser [1500w],General,,,PIECES,2,Total,,," 45,000.0000 ",0,0,Exclusive," 60,000.0000 ",2,,Fixed,
Total Rotary Hammer [1800w]],General,,,PIECES,1,Total,,," 48,000.0000 ",0,0,Exclusive," 63,900.0000 ",1,,Fixed,
Total Impact Wrench [1050w],General,,,PIECES,3,Total,,," 50,000.0000 ",0,0,Exclusive," 66,500.0000 ",3,,Fixed,
Total Lithium -ion Impact Wrench [20v] ,General,,,PIECES,1,Total,,," 55,000.0000 ",0,0,Exclusive," 73,000.0000 ",1,,Fixed,
Total Circular Saw [2200w],General,,,PIECES,2,Total,,," 56,000.0000 ",0,0,Exclusive," 74,300.0000 ",2,,Fixed,
Inc- co Cutter off saw (2350w),General,,,PIECES,1,Total,,," 65,000.0000 ",0,0,Exclusive," 86,000.0000 ",1,,Fixed,
Total High Pressure Washer [1800w],General,,,PIECES,1,Total,,," 67,000.0000 ",0,0,Exclusive," 88,600.0000 ",1,,Fixed,
Total Lithium -ion Cordless [2pcs] Combo Kit,General,,,PIECES,1,Total,,," 80,000.0000 ",0,0,Exclusive," 105,500.0000 ",1,,Fixed,
Total Rotary Hammer [1600w],General,,,PIECES,7,Total,,," 80,000.0000 ",0,0,Exclusive," 105,500.0000 ",7,,Fixed,
Total Lithium -ion Rotary Hammer [20v],General,,,PIECES,4,Total,,," 85,000.0000 ",0,0,Exclusive," 112,000.0000 ",4,,Fixed,
Total Demolition Breaker 1500w,General,,,PIECES,1,Total,,," 105,000.0000 ",0,0,Exclusive," 138,000.0000 ",1,,Fixed,
